Name,Country,Position,Age,Team_from,Team_to,League_from,Season,Window, Fee ( Euros Mn) , Transfer Rating 
Aaron Mooy,Australia,CM,26,City,Huddersfield,Premier League,2017-2018,Summer, 9.10 , 6.03 
Jack Cork,England,DM,28,Swansea,Burnley,Premier League,2017-2018,Summer, 9.10 , 6.28 
Andrew Robertson,Scotland,LB,23,Hull,Liverpool,Championship,2017-2018,Summer, 9.00 , 8.10 
Jairo Riedewald,Netherlands,CB,20,AFC Ajax,Palace,Eredivisie,2017-2018,Summer, 9.00 , 5.73 
Alexander Sörloth,Norway,CF,22,FC Midtjylland,Palace,Superligaen,2017-2018,Winter, 7.80 , 5.24 
Bruno Martins Indi,Netherlands,CB,25,FC Porto,Stoke,Liga NOS,2017-2018,Summer, 7.70 , 6.44 
Kieran Gibbs,England,LB,27,Arsenal,West Brom,Premier League,2017-2018,Summer, 7.50 , 6.20 
Christian Atsu,Ghana,LW,25,Chelsea,Newcastle,Premier League,2017-2018,Summer, 7.50 , 6.07 
Riyad Mahrez,Algeria,RW,27,Leicester,City,Premier League,2018-2019,Summer, 67.80 , 7.97 
Alisson,Brazil,GK,25,AS Roma,Liverpool,Serie A,2018-2019,Summer, 62.50 , 7.99 
Naby Keïta,Guinea,CM,23,RB Leipzig,Liverpool,Bundesliga,2018-2019,Summer, 60.00 , 5.61 
Fred,Brazil,CM,25,Shakhtar D.,United,Premier Liga,2018-2019,Summer, 59.00 , 6.92 
Jorginho,Italy,DM,26,SSC Napoli,Chelsea,Serie A,2018-2019,Summer, 57.00 , 7.48 
Fabinho,Brazil,DM,24,Monaco,Liverpool,Ligue 1,2018-2019,Summer, 45.00 , 7.63 
Richarlison,Brazil,LW,21,Watford,Everton,Premier League,2018-2019,Summer, 39.20 , 6.12 
Felipe Anderson,Brazil,RW,25,Lazio,West Ham,Serie A,2018-2019,Summer, 38.00 , 6.08 
Jean Michaël Seri,Ivory Coast,CM,27,OGC Nice,Fulham,Ligue 1,2018-2019,, 30.00 , 5.43 
Lucas Torreira,Uruguay,DM,22,Sampdoria,Arsenal,Serie A,2018-2019,Summer, 30.00 , 6.69 
Issa Diop,France,CB,21,Toulouse,West Ham,Ligue 1,2018-2019,Summer, 25.00 , 6.74 
Bernd Leno,Germany,GK,26,Bay. Leverkusen,Arsenal,Bundesliga,2018-2019,Summer, 25.00 , 6.97 
Jannik Vestergaard,Denmark,CB,25,Bor. M'gladbach,Southampton,Bundesliga,2018-2019,Summer, 25.00 , 6.15 
James Maddison,England,AM,21,Norwich,Leicester,Championship,2018-2019,Summer, 25.00 , 7.43 
Ricardo Pereira,Portugal,RB,24,FC Porto,Leicester,Liga NOS,2018-2019,Summer, 22.00 , 6.79 
Diogo Dalot,Portugal,RB,19,FC Porto,United,Liga NOS,2018-2019,Summer, 22.00 , 6.84 
Lucas Digne,France,LB,25,Barcelona,Everton,La Liga,2018-2019,Summer, 20.20 , 6.95 
Aleksandar Mitrovic,Serbia,CF,23,Newcastle,Fulham,Premier League,2018-2019,Summer, 20.20 , 7.12 
Andriy Yarmolenko,Ukraine,RW,28,Bor. Dortmund,West Ham,Bundesliga,2018-2019,Summer, 20.00 , 6.06 
Terence Kongolo,Netherlands,CB,24,Monaco,Huddersfield,Ligue 1,2018-2019,Summer, 20.00 , 5.89 
Alireza Jahanbakhsh,Iran,RW,24,AZ Alkmaar,Brighton,Eredivisie,2018-2019,Summer, 19.00 , 5.39 
Mohamed Elyounoussi,Norway,LW,23,FC Basel,Southampton,Swiss Super League,2018-2019,Summer, 18.00 , 6.30 
Yves Bissouma,Mali,CM,21,LOSC Lille,Brighton,Ligue 1,2018-2019,Summer, 16.90 , 7.27 
Sokratis,Greece,CB,30,Bor. Dortmund,Arsenal,Bundesliga,2018-2019,Summer, 16.00 , 6.17 
Xherdan Shaqiri,Switzerland,RW,26,Stoke,Liverpool,Championship,2018-2019,Summer, 14.70 , 6.62 
Diogo Jota,Portugal,LW,21,Atlético Madrid,Wolves,La Liga,2018-2019,Winter, 14.00 , 7.12 
Danny Ward,Wales,GK,25,Liverpool,Leicester,Premier League,2018-2019,Summer, 14.00 , 5.40 
Gerard Deulofeu,Spain,RW,24,Barcelona,Watford,La Liga,2018-2019,Summer, 13.00 , 6.22 
Willy Boly,Ivory Coast,CB,27,FC Porto,Wolves,Liga NOS,2018-2019,Summer, 12.00 , 6.95 
Diego Rico,Spain,LB,25,CD Leganés,Bournemouth,La Liga,2018-2019,Summer, 12.00 , 6.68 
Josh Murphy,England,LW,23,Norwich,Cardiff,Championship,2018-2019,Summer, 11.40 , 6.30 
Bobby Reid,Jamaica,AM,25,Bristol City,Cardiff,Championship,2018-2019,Summer, 11.35 , 5.38 
David Brooks,Wales,AM,20,Sheffiled,Bournemouth,Championship,2018-2019,Summer, 11.30 , 6.07 
Angus Gunn,Scotland,GK,22,City,Southampton,Premier League,2018-2019,Summer, 11.30 , 5.62 
Bernardo,Brazil,LB,23,RB Leipzig,Brighton,Bundesliga,2018-2019,Summer, 10.00 , 5.46 
Adama Diakhaby,France,CF,22,Monaco,Huddersfield,Ligue 1,2018-2019,Summer, 10.00 , 5.38 
Lukasz Fabianski,Poland,GK,33,Swansea,West Ham,Championship,2018-2019,Summer, 8.00 , 7.01 
Mattéo Guendouzi,France,CM,19,FC Lorient,Arsenal,Ligue 2,2018-2019,Summer, 8.00 , 6.42 
Stuart Armstrong,Scotland,CM,26,Celtic,Southampton,Premier League,2018-2019,Summer, 7.95 , 6.75 
Mikel Merino,Spain,DM,22,Bor. Dortmund,Newcastle,Bundesliga,2018-2019,Summer, 7.00 , 5.47 
Ramadan Sobhi,Egypt,LW,21,Stoke,Huddersfield,Championship,2018-2019,Summer, 6.50 , 5.82 
Florin Andone,Romania,CF,25,Deportivo,Brighton,La Liga2,2018-2019,Summer, 6.00 , 5.46 
João Moutinho,Portugal,CM,31,Monaco,Wolves,Ligue 1,2018-2019,Summer, 5.60 , 7.03 
Adam Masina,Morocco,LB,24,Bologna,Watford,Serie A,2018-2019,Summer, 5.00 , 6.70 
Florent Hadergjonaj,Switzerland,RB,23,FC Ingolstadt,Huddersfield,2.Bundesliga,2018-2019,Summer, 5.00 , 5.39 
João Cancelo,Portugal,RB,25,Juventus,City,Serie A,2019/2020,Summer, 65.00 , 7.95 
Rodri,Spain,DM,23,Atlético Madrid,City,La Liga,2019/2020,Summer, 62.70 , 8.02 
Pedro Porro,Spain,RB,19,Girona,City,La Liga,2019/2020,Summer, 12.00 , 5.31 
Angeliño,Spain,LB,22,PSV Eindhoven,City,Eredivisie,2019/2020,Summer, 12.00 , 5.22 
Zack Steffen,United States,GK,24,Columbus Crew,City,MLS,2019/2020,Summer, 6.82 , 5.83 
Mateo Kovacic,Croatia,CM,25,Real Madrid,Chelsea,La Liga,2019/2020,Summer, 45.00 , 7.57 
Tanguy Ndombélé,France,CM,22,Olympique Lyon,Spurs,Ligue 1,2019/2020,Summer, 60.00 , 5.30 
Ryan Sessegnon,England,LM,19,Fulham,Spurs,Premier League,2019/2020,Summer, 27.00 ,
Giovani Lo Celso,Argentina,CM,23,Real Betis,Spurs,La Liga,2019/2020,Summer, 16.00 , 6.02 
Nicolas Pépé,Ivory Coast,RW,24,LOSC Lille,Arsenal,Ligue 1,2019/2020,Summer, 80.00 , 5.43 
William Saliba,France,CB,18,Saint-Étienne,Arsenal,Ligue 1,2019/2020,Summer, 30.00 , 7.25 
Kieran Tierney,Scotland,LB,22,Celtic,Arsenal, SPL,2019/2020,Summer, 27.00 , 7.06 
David Luiz,Brazil,CB,32,Chelsea,Arsenal,Premier League,2019/2020,Summer, 8.70 , 6.88 
Gabriel Martinelli,Brazil,LW,18,Ituano,Arsenal, Brasileiro,2019/2020,Summer, 7.10 , 7.61 
Harry Maguire,England,CB,26,Leicester,United,Premier League,2019/2020,Summer, 87.00 , 6.32 
Aaron Wan-Bissaka,England,RB,21,Palace,United,Premier League,2019/2020,Summer, 55.00 , 6.95 
Daniel James,Wales,RW,21,Swansea,United,Championship,2019/2020,Summer, 17.80 , 6.07 
Raúl Jiménez,Mexico,CF,28,Benfica,Wolves,Liga NOS,2019/2020,Summer, 38.00 , 6.45 
Patrick Cutrone,Italy,CF,21,AC Milan,Wolves,Serie A,2019/2020,Summer, 18.00 , 5.22 
Pedro Neto,Portugal,LW,19,Lazio,Wolves,Serie A,2019/2020,Summer, 17.90 , 6.43 
Leander Dendoncker,Belgium,DM,24,RSC Anderlecht,Wolves,Jupiler Pro League,2019/2020,Summer, 13.80 , 6.59 
Alex Iwobi,Nigeria,LW,23,Arsenal,Everton,Premier League,2019/2020,Summer, 30.40 , 6.88 
Moise Kean,Italy,CF,19,Juventus,Everton,Serie A,2019/2020,Summer, 27.50 , 5.44 
Jean-Philippe Gbamin,Ivory Coast,DM,23,FSV Mainz 05,Everton,Bundesliga,2019/2020,Summer, 25.00 , 5.20 
André Gomes,Portugal,CM,25,Barcelona,Everton,La Liga,2019/2020,Summer, 25.00 , 6.46 
Fabian Delph,England,CM,29,City,Everton,Premier League,2019/2020,Summer, 9.50 , 5.82 
Youri Tielemans,Belgium,CM,22,Monaco,Leicester,Ligue 1,2019/2020,Summer, 45.00 , 7.32 
Ayoze Pérez,Spain,SS,25,Newcastle,Leicester,Premier League,2019/2020,Summer, 33.40 , 6.39 
Dennis Praet,Belgium,CM,25,Sampdoria,Leicester,Serie A,2019/2020,Summer, 19.20 , 5.81 
James Justin,England,RB,21,Luton,Leicester,Championship,2019/2020,Summer, 6.70 , 7.03 
Sébastien Haller,Ivory Coast,CF,25,Frankfurt,West Ham,Bundesliga,2019/2020,Summer, 50.00 , 5.31 
Pablo Fornals,Spain,AM,23,Villarreal,West Ham,La Liga,2019/2020,Summer, 28.00 , 6.01 
Albian Ajeti,Switzerland,CF,22,FC Basel,West Ham,Swiss Super League,2019/2020,Summer, 11.30 , 5.29 
Ismaïla Sarr,Senegal,RW,21,Stade Rennais,Watford,Ligue 1,2019/2020,Summer, 30.00 , 7.05 
Craig Dawson,England,CB,29,West Brom,Watford,Premier League,2019/2020,Summer, 6.00 , 6.82 
James McCarthy,Ireland,CM,28,Everton,Palace,Premier League,2019/2020,Summer, 3.30 , 6.95 
Jordan Ayew,Ghana,CF,27,Swansea,Palace,Championship,2019/2020,Summer, 2.80 , 6.77 
Joelinton,Brazil,AM,22,TSG Hoffenheim,Newcastle,Bundesliga,2019/2020,Summer, 44.00 , 7.03 
Allan Saint-Maximin,France,LW,22,OGC Nice,Newcastle,Ligue 1,2019/2020,Summer, 18.00 , 6.37 
Emil Krafth,Sweden,RB,25,Amiens SC,Newcastle,Ligue 1,2019/2020,Summer, 5.40 , 5.62 
Philip Billing,Denmark,CM,23,Huddersfield,Bournemouth,Championship,2019/2020,Summer, 16.50 , 6.84 
Arnaut Danjuma,Netherlands,CF,22,Club Brugge,Bournemouth,Jupiler Pro League,2019/2020,Summer, 16.46 , 6.72 
Lloyd Kelly,England,CB,20,Bristol City,Bournemouth,Championship,2019/2020,Summer, 14.80 , 6.80 
Jack Stacey,England,RB,23,Luton,Bournemouth,Championship,2019/2020,Summer, 4.45 , 6.05 
Jay Rodríguez,England,CF,29,West Brom,Burnley,Championship,2019/2020,Summer, 10.00 , 6.33 
Bailey Peacock-Farrell,Nothern Ireland,GK,22,Leeds,Burnley,Championship,2019/2020,Summer, 2.75 , 5.66 
Erik Pieters,Netherlands,LB,30,Stoke,Burnley,Championship,2019/2020,Summer, 1.10 , 5.71 
Danny Ings,England,CF,26,Liverpool,Southampton,Premier League,2019/2020,Summer, 25.10 , 7.57 
Ché Adams,Scotland,CF,22,Birmingham,Southampton,Championship,2019/2020,Summer, 16.70 , 6.82 
Moussa Djenepo,Mali,LW,21,Standard Liège,Southampton,Jupiler Pro League,2019/2020,Summer, 15.70 , 6.01 
Adam Webster,England,CB,24,Bristol City,Brighton,Championship,2019/2020,Summer, 22.22 , 6.77 
Neal Maupay,France,CF,22,Brentford,Brighton,Championship,2019/2020,Summer, 22.22 , 6.79 
Leandro Trossard,Belgium,LW,24,KRC Genk,Brighton,Jupiler Pro League,2019/2020,Summer, 15.56 , 7.23 
Sam Byram,England,RB,25,West Ham,Norwich,Premier League,2019/2020,Summer, 0.83 , 5.75 
Oliver McBurnie,Scotland,CF,23,Swansea,Sheffield,Championship,2019/2020,Summer, 19.10 , 6.56 
Lys Mousset,France,CF,23,Bournemouth,Sheffield,Premier League,2019/2020,Summer, 11.10 , 6.22 
Callum Robinson,Ireland,LW,24,Preston,Sheffield,Championship,2019/2020,Summer, 7.80 , 5.69 
Luke Freeman,England,AM,27,QPR,Sheffield,Championship,2019/2020,Summer, 5.60 , 5.42 
Ben Osborn,England,LM,24,Nottm Forest,Sheffield,Championship,2019/2020,Summer, 3.90 , 6.47 
Wesley,Brazil,CF,22,Club Brugge,Villa,Jupiler Pro League,2019/2020,Summer, 25.00 , 5.38 
Tyrone Mings,England,CB,26,Bournemouth,Villa,Premier League,2019/2020,Summer, 22.30 , 6.49 
Douglas Luiz,Brazil,DM,21,City,Villa,Premier League,2019/2020,Summer, 16.80 , 6.60 
Matt Targett,England,LB,23,Southampton,Villa,Championship,2019/2020,Summer, 15.50 , 6.71 
Ezri Konsa,England,CB,21,Brentford,Villa,Championship,2019/2020,Summer, 13.30 , 6.78 
Marvelous Nakamba,Zimbabwe,DM,25,Club Brugge,Villa,Jupiler Pro League,2019/2020,Summer, 12.00 , 5.62 
Trezeguet,Egypt,LW,24,Kasimpasa,Villa,Super Lig,2019/2020,Summer, 10.00 , 6.03 
Anwar El Ghazi,Netherlands,RW,24,LOSC Lille,Villa,Ligue 1,2019/2020,Summer, 9.00 , 6.47 
Tom Heaton,England,GK,33,Burnley,Villa,Championship,2019/2020,Summer, 8.80 , 5.61 
Björn Engels,Belgium,CB,24,Stade Reims,Villa,Ligue 1,2019/2020,Summer, 8.00 , 5.44 
Jota Peleteiro,Spain,RW,28,Birmingham,Villa,Championship,2019/2020,Summer, 4.50 , 5.25 
Kortney Hause,England,CB,23,Wolves,Villa,Championship,2019/2020,Summer, 3.40 , 5.61 
Takumi Minamino,Japan,LW,24,RB Salzburg,Liverpool,Admiral Bundesliga,2019/2020,Winter, 8.50 , 5.12 
Steven Bergwijn,Netherlands,LW,22,PSV Eindhoven,Spurs,Eredivisie,2019/2020,Winter, 30.00 , 6.20 
Pablo Marí,Spain,CB,26,Flamengo,Arsenal,Brasileiro,2019/2020,Winter, 8.00 , 5.62 
Bruno Fernandes,Portugal,AM,25,Sporting CP,United,Liga NOS,2019/2020,Winter, 63.00 , 8.13 
Daniel Podence,Portugal,RW,24,Olympiacos,Wolves,Super Lig,2019/2020,Winter, 19.60 , 6.02 
Jarrad Branthwaite,England,CB,17,Carlisle United,Everton,League One,2019/2020,Winter, 1.10 , 5.30 
Jarrod Bowen,England,RW,23,Hull,West Ham,Championship,2019/2020,Winter, 21.30 , 7.17 
Darren Randolph,Ireland,GK,32,Middlesbrough,West Ham,Championship,2019/2020,Winter, 4.70 , 5.43 
Ignacio Pussetto,Argentina,RW,24,Udinese Calcio,Watford,Serie A,2019/2020,Winter, 8.50 , 5.38 
João Pedro,Brazil,CF,18,Fluminense,Watford,Brasileiro,2019/2020,Winter, 4.00 , 6.82 
Josh Brownhill,England,CM,24,Bristol City,Burnley,Championship,2019/2020,Winter, 10.00 , 6.76 
Aaron Mooy,Australia,CM,29,Huddersfield,Brighton,Championship,2019/2020,Winter, 3.30 , 6.22 
Tariq Lamptey,Ghana,RB,19,Chelsea,Brighton,Premier League,2019/2020,Winter, 1.20 , 6.49 
Sam McCallum,England,LB,19,Coventry,Norwich,Championship,2019/2020,Winter, 4.15 , 5.32 
Lukas Rupp,Germany,CM,29,TSG Hoffenheim,Norwich,Bundesliga,2019/2020,Winter, 0.50 , 5.49 
Sander Berge,Norway,DM,21,KRC Genk,Sheffield,Jupiler Pro League,2019/2020,Winter, 23.00 , 5.82 
Ally Samatta,Tanzania,CF,27,KRC Genk,Villa,Jupiler Pro League,2019/2020,Winter, 10.50 , 5.23 
Thomas Partey,Ghana,DM,27,Atlético Madrid,Arsenal,La Liga,2020/2021,Summer, 50.00 , 7.61 
Gabriel Magalhães,Brazil,CB,22,LOSC Lille,Arsenal,Ligue 1,2020/2021,Summer, 26.00 , 7.42 
Pablo Marí,Spain,CB,26,Flamengo,Arsenal, Brasileiro,2020/2021,Summer, 6.00 , 5.15 
Ollie Watkins,England,CF,24,Brentford,Villa,Championship,2020/2021,Summer, 34.00 , 6.93 
Bertrand Traoré,Burkina Faso,RW,25,Olympique Lyon,Villa,Ligue 1,2020/2021,Summer, 18.40 , 5.72 
Emiliano Martínez,Argentina,GK,28,Arsenal,Villa,Premier League,2020/2021,Summer, 17.40 , 7.02 
Matty Cash,Poland,RB,23,Nottm Forest,Villa,Championship,2020/2021,Summer, 15.75 , 6.82 
Jakub Moder,Poland,CM,21,Lech Poznan,Brighton,Ekstraklasa,2020/2021,Summer, 11.00 , 5.58 
Jan Paul van Hecke,Netherlands,CB,20,NAC Breda,Brighton,Eredivisie,2020/2021,Summer, 2.00 , 5.60 
Joël Veltman,Netherlands,RB,28,Ajax,Brighton,Eredivisie,2020/2021,Summer, 1.00 , 7.01 
Dale Stephens,England,CM,31,Brighton,Burnley,Premier League,2020/2021,Summer, 1.10 , 5.29 
Kai Havertz,Germany,AM,21,Bay. Leverkusen,Chelsea,Bundesliga,2020/2021,Summer, 80.00 , 6.44 
Timo Werner,Germany,CF,24,RB Leipzig,Chelsea,Bundesliga,2020/2021,Summer, 53.00 , 6.18 
Ben Chilwell,England,LB,23,Leicester,Chelsea,Premier League,2020/2021,Summer, 50.20 , 6.79 
Hakim Ziyech,Morocco,AM,27,Ajax,Chelsea,Eredivisie,2020/2021,Summer, 40.00 , 5.84 
Edouard Mendy,Senegal,GK,28,Stade Rennais,Chelsea,Premier League,2020/2021,Summer, 24.00 , 6.92 
Eberechi Eze,England,AM,22,QPR,Palace,Championship,2020/2021,Summer, 17.80 , 6.91 
Jack Butland,England,GK,27,Stoke,Palace,Championship,2020/2021,Summer, 1.10 , 5.47 
Ben Godfrey,England,CB,22,Norwich,Everton,Championship,2020/2021,Summer, 27.50 , 6.55 
Allan,Brazil,DM,29,SSC Napoli,Everton,Serie A,2020/2021,Summer, 23.60 , 6.84 
Abdoulaye Doucouré,Mali,CM,27,Watford,Everton,Premier League,2020/2021,Summer, 22.00 , 6.79 
Anthony Knockaert,France,RW,28,Brighton,Fulham,Premier League,2020/2021,Summer, 11.70 , 5.42 
Harrison Reed,England,CM,25,Southampton,Fulham,Premier League,2020/2021,Summer, 6.50 , 6.30 
Kenny Tete,Netherlands,RB,24,Olympique Lyon,Fulham,Ligue 1,2020/2021,Summer, 3.20 , 6.82 
Ola Aina,Nigeria,RB,23,Torino,Fulham,Serie A,2020/2021,Summer, 2.50 , 6.17 
Antonee Robinson,United States,LB,23,Wigan,Fulham,Championship,2020/2021,Summer, 2.10 , 6.25 
Ademola Lookman,Nigeria,LW,22,RB Leipzig,Fulham,Bundesliga,2020/2021,Summer, 2.00 , 5.27 
Tosin Adarabioyo,England,CB,23,City,Fulham,Premier League,2020/2021,Summer, 1.65 , 6.74 
Joachim Andersen,Denmark,CB,24,Olympique Lyon,Fulham,Ligue 1,2020/2021,Summer, 1.00 , 7.07 
Rodrigo,Spain,SS,29,Valencia,Leeds,La Liga,2020/2021,Summer, 30.00 , 6.83 
Diego Llorente,Spain,CB,27,Real Sociedad,Leeds,La Liga,2020/2021,Summer, 20.00 , 6.10 
Raphinha,Brazil,RW,23,Stade Rennais,Leeds,Ligue 1,2020/2021,Summer, 18.60 , 7.28 
Hélder Costa,Angola,RW,26,Wolves,Leeds,Premier League,2020/2021,Summer, 17.70 , 5.21 
Robin Koch,Germany,CB,24,SC Freiburg,Leeds,Bundesliga,2020/2021,Summer, 13.00 , 6.08 
Illan Meslier,France,GK,20,FC Lorient,Leeds,Ligue 1,2020/2021,Summer, 6.50 , 7.28 
Joe Gelhardt,England,CF,18,Wigan,Leeds,Championship,2020/2021,Summer, 1.00 , 5.92 
Wesley Fofana,France,CB,19,Saint-Étienne,Leicester,Ligue 1,2020/2021,Summer, 35.00 , 7.09 
Timothy Castagne,Belgium,RB,24,Atalanta,Leicester,Serie A,2020/2021,Summer, 20.90 , 7.17 
Cengiz Ünder,Turkey,RW,23,AS Roma,Leicester,Serie A,2020/2021,Summer, 3.50 , 5.33 
Diogo Jota,Portugal,LW,23,Wolves,Liverpool,Premier League,2020/2021,Summer, 44.70 , 7.63 
Thiago,Spain,CM,29,Bayern Munich,Liverpool,Bundesliga,2020/2021,Summer, 22.00 , 7.35 
Konstantinos Tsimikas,Greece,LB,24,Olympiacos,Liverpool,Super League,2020/2021,Summer, 13.00 , 6.98 
Rúben Dias,Portugal,CB,23,Benfica,City,Liga NOS,2020/2021,Summer, 68.00 , 7.87 
Nathan Aké,Netherlands,CB,25,Bournemouth,City,Premier League,2020/2021,Summer, 45.30 , 7.40 
Ferran Torres,Spain,LW,20,Valencia,City,La Liga,2020/2021,Summer, 33.50 , 6.88 
Donny van de Beek,Netherlands,CM,23,Ajax,United,Eredivisie,2020/2021,Summer, 39.00 , 5.47 
Alex Telles,Brazil,LB,27,FC Porto,United,Liga NOS,2020/2021,Summer, 15.00 , 5.62 
Facundo Pellistri,Uruguay,RW,18,Peñarol,United,Torneo Uruguay,2020/2021,Summer, 8.50 , 5.55 
Callum Wilson,England,CF,28,Bournemouth,Newcastle,Championship,2020/2021,Summer, 22.25 , 7.05 
Jamal Lewis,Northern Ireland,LB,22,Norwich,Newcastle,Championship,2020/2021,Summer, 16.50 , 5.41 
Rhian Brewster,England,CF,20,Liverpool,Sheffield,Premier League,2020/2021,Summer, 26.00 , 5.11 
Aaron Ramsdale,England,GK,22,Bournemouth,Sheffield,Championship,2020/2021,Summer, 20.50 , 6.48 
Oliver Burke,Scotland,CF,23,West Brom,Sheffield,Championship,2020/2021,Summer, 6.50 , 5.52 
Jayden Bogle,England,RB,20,Derby,Sheffield,Championship,2020/2021,Summer, 3.85 , 6.30 
Max Lowe,England,LB,23,Derby,Sheffield,Championship,2020/2021,Summer, 3.85 , 5.43 
Kyle Walker-Peters,England,RB,23,Spurs,Southampton,Premier League,2020/2021,Summer, 13.30 , 6.82 
Ibrahima Diallo,France,DM,21,Stade Brestois,Southampton,Ligue 1,2020/2021,Summer, 12.00 , 6.43 
Mohammed Salisu,Ghana,CB,21,Real Valladolid,Southampton,La Liga,2020/2021,Summer, 12.00 , 6.47 
Giovani Lo Celso,Argentina,CM,24,Real Betis,Spurs,La Liga,2020/2021,Summer, 32.00 , 6.01 
Sergio Reguilón,Spain,LB,23,Real Madrid,Spurs,La Liga,2020/2021,Summer, 30.00 , 5.78 
Matt Doherty,Ireland,RB,28,Wolves,Spurs,Premier League,2020/2021,Summer, 16.80 , 5.73 
Pierre-Emile Höjbjerg,Denmark,CM,25,Southampton,Spurs,Premier League,2020/2021,Summer, 16.60 , 7.12 
Joe Rodon,Wales,CB,22,Swansea,Spurs,Championship,2020/2021,Summer, 12.10 , 5.91 
Carlos Vinícius,Brazil,CF,25,Benfica,Spurs,Liga NOS,2020/2021,Summer, 3.00 , 5.12 
Karlan Grant,England,CF,23,Huddersfield,West Brom,Championship,2020/2021,Summer, 16.50 , 7.00 
Grady Diangana,England,RW,22,West Ham,West Brom,Premier League,2020/2021,Summer, 13.50 , 5.62 
Matheus Pereira,Brazil,AM,24,Sporting CP,West Brom, Brasileiro,2020/2021,Summer, 8.25 , 7.01 
Cédric Kipré,Ivory Coast,CB,23,Wigan,West Brom,Championship,2020/2021,Summer, 1.10 , 5.42 
David Button,England,GK,31,Brighton,West Brom,Premier League,2020/2021,Summer, 1.10 , 5.70 
Tomas Soucek,Czech Republic,DM,25,Slavia Prague,West Ham,Czech League,2020/2021,Summer, 16.20 , 7.11 
Vladimir Coufal,Czech Republic,RB,28,Slavia Prague,West Ham,Czech League,2020/2021,Summer, 6.00 , 6.26 
Saïd Benrahma,Algeria,LW,25,Brentford,West Ham,Championship,2020/2021,Summer, 4.40 , 6.47 
Craig Dawson,England,CB,30,Watford,West Ham,Premier League,2020/2021,Summer, 1.10 , 6.81 
Fábio Silva,Portugal,CF,18,FC Porto,Wolves,Liga NOS,2020/2021,Summer, 40.00 , 5.26 
Nélson Semedo,Portugal,RB,26,Barcelona,Wolves,La Liga,2020/2021,Summer, 32.00 , 5.81 
Ki-Jana Hoever,Netherlands,RB,18,Liverpool U23,Wolves,Premier League,2020/2021,Summer, 9.80 , 5.57 
Marçal,Brazil,LB,31,Olympique Lyon,Wolves,Ligue 1,2020/2021,Summer, 2.00 , 5.60 
Toti,Portugal,CB,21,Estoril Praia,Wolves,Liga NOS,2020/2021,Summer, 1.00 , 5.67 
Martin Ødegaard,Norway,AM,22,Real Madrid,Arsenal,La Liga,2020/2021,Winter, 2.00 , 7.87 
Morgan Sanson,France,CM,26,Marseille,Villa,Ligue 1,2020/2021,Winter, 15.80 , 5.22 
Moisés Caicedo,Ecuador,CM,19,Independiente,Brighton,Ecuadorian Serie A,2020/2021,Winter, 5.00 , 7.75 
Jean-Philippe Mateta,France,CF,23,FSV Mainz 05,Palace,Bundesliga,2020/2021,Winter, 3.50 , 5.47 
Amad Diallo,Ivory Coast,RW,18,Atalanta,United,Serie A,2020/2021,Winter, 21.30 , 5.33 
Robert Snodgrass,Scotland,RW,33,West Ham,West Brom,Premier League,2020/2021,Winter, 0.11 , 5.28 
Saïd Benrahma,Algeria,LW,25,Brentford,West Ham,Championship,2020/2021,Winter, 23.10 , 6.77 
Ben White,England,CB,23,Brighton,Arsenal,Premier League,2021/2022,Summer, 58.50 , 7.28 
Martin Ødegaard,Norway,AM,22,Real Madrid,Arsenal,La Liga,2021/2022,Summer, 35.00 , 7.52 
Aaron Ramsdale,England,GK,23,Sheff Utd,Arsenal,Championship,2021/2022,Summer, 28.00 , 7.19 
Takehiro Tomiyasu,Japan,RB,22,Bologna,Arsenal,Serie A,2021/2022,Summer, 18.60 , 6.88 
Albert Sambi Lokonga,Belgium,CM,21,RSC Anderlecht,Arsenal,Jupiler Pro League,2021/2022,Summer, 17.50 , 5.47 
Nuno Tavares,Portugal,LB,21,Benfica,Arsenal,Liga NOS,2021/2022,Summer, 8.00 , 5.49 
Emiliano Buendía,Argentina,RW,24,Norwich,Villa,Championship,2021/2022,Summer, 38.40 , 6.22 
Leon Bailey,Jamaica,LW,23,Bay. Leverkusen,Villa,Bundesliga,2021/2022,Summer, 32.00 , 5.89 
Danny Ings,England,CF,29,Southampton,Villa,Premier League,2021/2022,Summer, 29.42 , 6.40 
Kristoffer Ajer,Denmark,CB,23,Celtic,Brentford,SPL,2021/2022,Summer, 15.70 , 5.97 
Yoane Wissa,DR Congo,LW,24,FC Lorient,Brentford,Ligue 1,2021/2022,Summer, 10.00 , 6.78 
Frank Onyeka,Nigeria,CM,23,FC Midtjylland,Brentford,Superligaen,2021/2022,Summer, 10.00 , 5.92 
Enock Mwepu,Zambia,CM,23,RB Salzburg,Brighton,Admiral Bundesliga,2021/2022,Summer, 23.00 , 6.22 
Marc Cucurella,Spain,LB,23,Getafe,Brighton,La Liga,2021/2022,Summer, 18.00 , 7.64 
Kaoru Mitoma,Japan,LW,24,Kawasaki Front.,Brighton,JLeague,2021/2022,Summer, 3.00 , 7.22 
Maxwel Cornet,Ivory Coast,LW,24,Olympique Lyon,Burnley,Ligue 1,2021/2022,Summer, 15.00 , 6.57 
Nathan Collins,Ireland,CB,20,Stoke,Burnley,Championship,2021/2022,Summer, 14.00 , 6.00 
Connor Roberts,Wales,RB,25,Swansea,Burnley,Championship,2021/2022,Summer, 2.90 , 6.38 
